Room,Month,RM ARR,RM NIGHTS,ROOM REV,ADR,,,,
727,December,19,21,"2,976.66",141.75,18782,31050,"5,064,270.44",163.1
728,January,15,20,"2,760.05",138,18782,31050,"5,064,270.44",163.1
728,February,12,22,"3,041.85",138.27,18782,31050,"5,064,270.44",163.1
728,March,20,27,"3,834.80",142.03,18782,31050,"5,064,270.44",163.1
728,April,15,25,"4,016.61",160.66,18782,31050,"5,064,270.44",163.1
728,May,15,26,"4,778.94",183.81,18782,31050,"5,064,270.44",163.1
728,June,20,27,"5,086.34",188.38,18782,31050,"5,064,270.44",163.1
728,July,17,26,"3,913.35",150.51,18782,31050,"5,064,270.44",163.1
728,August,19,25,"4,615.26",184.61,18782,31050,"5,064,270.44",163.1
728,September,15,25,"4,064.40",162.58,18782,31050,"5,064,270.44",163.1
728,October,15,27,"4,225.84",156.51,18782,31050,"5,064,270.44",163.1
728,November,19,26,"4,045.12",155.58,18782,31050,"5,064,270.44",163.1
728,December,16,20,"2,385.18",119.26,18782,31050,"5,064,270.44",163.1
